Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",110.400000,-43.150000,0.000000,top
"C2","0.1uF","C_0402_1005Metric",110.800000,-38.250000,0.000000,top
"C3","0.1uF","C_0402_1005Metric",99.400000,-39.950000,180.000000,top
"C4","22uF","C_0603_1608Metric",102.800000,-34.050000,90.000000,top
"C5","0.1uF","C_0402_1005Metric",104.200000,-34.500000,90.000000,top
"C6","22uF","C_0603_1608Metric",103.600000,-31.550000,180.000000,top
"C7","0.1uF","C_0402_1005Metric",99.400000,-41.050000,180.000000,top
"C8","0.1uF","C_0402_1005Metric",99.200000,-43.650000,-90.000000,top
"C9","12pF","C_0402_1005Metric",110.800000,-49.550000,90.000000,top
"C10","15pF","C_0402_1005Metric",110.800000,-47.550000,-90.000000,top
"C11","3.6pF","C_0402_1005Metric",101.306000,-45.070000,0.000000,top
"C12","?","C_0402_1005Metric",102.900000,-55.732500,180.000000,top
"C13","?","C_0603_1608Metric",101.625000,-61.100000,180.000000,top
"C14","4.7uF","C_0402_1005Metric",120.700000,-36.300000,0.000000,top
"C15","0.1uF","C_0402_1005Metric",98.900000,-36.750000,-90.000000,top
"C16","100pF","C_0402_1005Metric",102.400000,-57.382500,90.000000,top
"C17","5.6pF","C_0402_1005Metric",102.400000,-64.100000,-90.000000,top
"C18","3.6pF","C_0402_1005Metric",103.100000,-46.570000,-90.000000,top
"C19","2.7pF","C_0402_1005Metric",103.000000,-48.170000,0.000000,top
"C20","6.2pF","C_0402_1005Metric",102.000000,-51.270000,180.000000,top
"C21","3pF","C_0402_1005Metric",102.900000,-54.450000,0.000000,top
"C22","1uF","C_0402_1005Metric",110.000000,-36.650000,90.000000,top
"C23","100pF","C_0402_1005Metric",104.300000,-46.570000,-90.000000,top
"C26","0.1uF","C_0402_1005Metric",84.720000,-32.700000,-90.000000,top
"C31","4.7uF","C_0402_1005Metric",90.200000,-28.780000,90.000000,top
"C32","0.1uF","C_0402_1005Metric",113.900000,-49.750000,-90.000000,top
"C33","1 uF","C_0402_1005Metric",93.500000,-26.100000,90.000000,top
"C34","4.7uF","C_0402_1005Metric",121.500000,-38.450000,0.000000,top
"C35","0.1uF","C_0402_1005Metric",120.800000,-35.250000,0.000000,top
