Designator,Mid X,Mid Y,Rotation,Layer
AE1,113.1,-67.8,180.0,top
C1,110.4,-43.15,0.0,top
C10,110.8,-47.55,270.0,top
C11,101.306,-45.07,0.0,top
C13,112.6,-57.7,270.0,top
C14,120.7,-36.3,0.0,top
C15,117.75,-28.6,90.0,bottom
C16,108.8825,-56.925,180.0,top
C17,115.6,-56.925,0.0,top
C18,103.1,-46.57,270.0,top
C19,103.0,-48.17,0.0,top
C2,110.8,-38.25,0.0,top
C20,102.0,-51.27,180.0,top
C21,102.9,-54.45,0.0,top
C22,110.0,-36.65,90.0,top
C23,104.3,-46.57,270.0,top
C25,110.625,-23.525,270.0,bottom
C26,84.575,-33.375,270.0,top
C27,104.57019,-18.72,0.0,bottom
C28,101.9,-19.9,0.0,bottom
C29,107.225,-20.6,90.0,bottom
C3,99.225,-39.925,180.0,top
C30,108.775,-20.6,270.0,bottom
C31,88.6,-27.85,90.0,top
C32,113.9,-49.75,270.0,top
C33,93.8,-27.45,180.0,top
C34,121.5,-38.45,0.0,top
C35,120.8,-35.25,0.0,top
C36,121.1,-37.35,0.0,top
C4,102.8,-34.05,90.0,top
C5,104.2,-34.5,90.0,top
C6,103.6,-31.55,180.0,top
C7,99.4,-41.05,180.0,top
C8,99.2,-43.65,270.0,top
C9,110.8,-49.55,90.0,top
D2,84.527,-37.454,90.0,top
D3,84.424,-42.068,90.0,top
D4,119.075,-21.15,0.0,bottom
FB1,101.1,-34.05,270.0,top
J1,105.35,-21.725,0.0,top
J3,116.55,-31.575,90.0,top
J4,95.3,-22.0,0.0,bottom
L1,107.0,-32.65,90.0,top
L2,101.9,-46.565,270.0,top
L3,102.322,-44.07,0.0,top
L4,102.5,-49.67,270.0,top
L5,102.4,-52.87,270.0,top
L6,110.8825,-56.925,0.0,top
L7,103.592,-45.07,0.0,top
L8,104.8,-27.4,90.0,bottom
L9,113.95,-56.15,90.0,top
P1,118.8,-22.85,90.0,top
Q1,96.3,-31.35,90.0,bottom
Q2,92.75,-34.4,90.0,bottom
Q3,99.4,-31.65,90.0,bottom
R1,86.025,-18.25,180.0,top
R10,102.25019,-21.58,180.0,bottom
R11,102.4,-18.8,0.0,bottom
R12,100.25,-20.975,0.0,bottom
R13,114.45,-53.7,0.0,top
R14,120.644,-40.68,180.0,top
R15,120.644,-39.537,180.0,top
R16,120.682,-41.914,180.0,top
R17,112.85,-21.4,180.0,top
R18,96.475188,-28.725,0.0,top
R19,118.0,-34.45,180.0,top
R2,118.825,-28.6,270.0,bottom
R20,112.825,-22.55,0.0,top
R21,82.975,-33.875,180.0,top
R22,99.15,-34.7,90.0,top
R23,90.475,-32.125,180.0,top
R24,96.575,-38.125,270.0,bottom
R25,121.675,-20.035,90.0,bottom
R3,82.965,-32.775,0.0,top
R4,83.1,-36.75,90.0,top
R5,82.9,-41.04,90.0,top
R6,112.8,-24.7,90.0,top
R7,96.9175,-26.9425,270.0,bottom
R8,95.3175,-26.9425,270.0,bottom
R9,98.5175,-26.9425,270.0,bottom
SW1,81.65,-24.8,90.0,top
SW2,90.15,-22.85,0.0,top
U1,89.9525,-38.76425,90.0,top
U2,105.2,-39.65,90.0,top
U3,105.040001,-20.64,270.0,bottom
U4,116.2,-38.35,180.0,top
U5,116.0,-50.85,90.0,top
U6,93.224999,-30.149999,0.0,top
Y1,96.0,-41.85,90.0,top
Y2,108.5,-48.55,270.0,top
