Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Texas_SWRA416_868MHz_915MHz,1,Antenna,
"C1, C15, C2, C26, C3, C32, C35, C36, C5, C7, C8",0402,11,0.1uF,
C10,0402,1,15pF,
"C11, C18",0402,2,3.6pF,
"C13, L9",0603,2,?,
"C14, C31, C34",0402,3,4.7uF,
"C16, C23",0402,2,100pF,
C17,0402,1,5.1pF,
C19,0402,1,2.7pF,
C20,0402,1,6.2pF,
C21,0402,1,3pF,
C22,0402,1,1uF,
C25,0603,1,10uF,
C27,0402,1,10nF,
C28,0402,1,10pF,
"C29, C30, C4, C6",0603,4,22uF,
C33,0402,1,1 uF,
C9,0402,1,12pF,
"D1, D2, D3",0402,3,LED,
D4,SOT-143,1,SP0503BAHT,
FB1,0603,1,BLM18HE152SN1,
J1,CONN-SMD_SM04B-PASS-TBT-LF-SN,1,LED_STRIP_CONNECTOR,
J3,PinHeader_2x05_P1.27mm_Vertical,1,Conn_02x05_Odd_Even,
J4,DF65-3P-1.7V21,1,BATT_CONN,
L1,L_TDK_NLV32_3.2x2.5mm,1,6.8uH,
"L2, L7",0402,2,7.5nH,
L3,0402,1,27nH,
"L4, L5",0402,2,6.8nH,
L6,0402,1,3.3nH,
L8,L_Chilisin_BMRB00060612,1,1.5uH,
P1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Plug_USB2.0,
"Q1, Q2, Q3",SOT-23_Handsoldering,3,Q_NMOS_GSD,
"R1, R4, R5",0402,3,1.5k,
"R10, R21, R3",0402,3,309k,
"R11, R14, R15, R16",0402,4,10k,
"R12, R2",0402,2,100k,
R13,0402,1,2.2k,
R17,0402,1,22.1k,
R18,0402,1,1.18k,
R19,0402,1,1k,
R20,0402,1,47.5k,
R6,0402,1,5.1k,
R7,0603,1,1.13k,
R8,0603,1,2.21k,
R9,0603,1,8.87k,
SW1,SW-TH_SS-12D11G4R,1,SW_SPST,
U1,SN74HCT541PW,1,74HCT541,
U2,CC1310F128RGZR,1,CC1310,
U3,VQFN7_2X2_TEX,1,TPS61230ARNSR,
U4,CP2102N-A02-GQFN28,1,CP2102N,
U5,MX25R8035FZUIL0,1,MX25R8035F,
U6,BQ24072TRGTR,1,BQ24072,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24MHz,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,
