Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","Antenna","Texas_SWRA416_868MHz_915MHz",113.100000,-67.800000,180.000000,top
"C1","0.1uF","C_0402_1005Metric",110.400000,-43.150000,0.000000,top
"C2","0.1uF","C_0402_1005Metric",110.800000,-38.250000,0.000000,top
"C3","0.1uF","C_0402_1005Metric",99.225000,-39.925000,180.000000,top
"C4","22uF","C_0603_1608Metric",102.800000,-34.050000,90.000000,top
"C5","0.1uF","C_0402_1005Metric",104.200000,-34.500000,90.000000,top
"C6","22uF","C_0603_1608Metric",103.600000,-31.550000,180.000000,top
"C7","0.1uF","C_0402_1005Metric",99.400000,-41.050000,180.000000,top
"C8","0.1uF","C_0402_1005Metric",99.200000,-43.650000,-90.000000,top
"C9","12pF","C_0402_1005Metric",110.800000,-49.550000,90.000000,top
"C10","15pF","C_0402_1005Metric",110.800000,-47.550000,-90.000000,top
"C11","3.6pF","C_0402_1005Metric",101.306000,-45.070000,0.000000,top
"C13","?","C_0603_1608Metric",112.600000,-57.700000,-90.000000,top
"C14","4.7uF","C_0402_1005Metric",120.700000,-36.300000,0.000000,top
"C16","100pF","C_0402_1005Metric",108.882500,-56.925000,180.000000,top
"C17","5.1pF","C_0402_1005Metric",115.600000,-56.925000,0.000000,top
"C18","3.6pF","C_0402_1005Metric",103.100000,-46.570000,-90.000000,top
"C19","2.7pF","C_0402_1005Metric",103.000000,-48.170000,0.000000,top
"C20","6.2pF","C_0402_1005Metric",102.000000,-51.270000,180.000000,top
"C21","3pF","C_0402_1005Metric",102.900000,-54.450000,0.000000,top
"C22","1uF","C_0402_1005Metric",110.000000,-36.650000,90.000000,top
"C23","100pF","C_0402_1005Metric",104.300000,-46.570000,-90.000000,top
"C26","0.1uF","C_0402_1005Metric",88.442800,-30.073600,-90.000000,top
"C31","4.7uF","C_0402_1005Metric",88.600000,-27.850000,90.000000,top
"C32","0.1uF","C_0402_1005Metric",113.900000,-49.750000,-90.000000,top
"C33","1 uF","C_0402_1005Metric",93.800000,-27.450000,180.000000,top
"C34","4.7uF","C_0402_1005Metric",121.500000,-38.450000,0.000000,top
"C35","0.1uF","C_0402_1005Metric",120.800000,-35.250000,0.000000,top
"C36","0.1uF","C_0402_1005Metric",121.100000,-37.350000,0.000000,top
"D2","LED","LED_0402_1005Metric",84.527000,-32.489000,90.000000,top
"D3","LED","LED_0402_1005Metric",84.424000,-34.775000,90.000000,top
"FB1","BLM18HE152SN1","R_0603_1608Metric",101.100000,-34.050000,-90.000000,top
"J1","LED_STRIP_CONNECTOR","CONN-SMD_SM04B-PASS-TBT-LF-SN",104.696000,-21.223000,180.000000,top
"J3","Conn_02x05_Odd_Even","PinHeader_2x05_P1.27mm_Vertical",116.550000,-31.575000,90.000000,top
"L1","6.8uH","L_TDK_NLV32_3.2x2.5mm",107.000000,-32.650000,90.000000,top
"L2","7.5nH","L_0402_1005Metric",101.900000,-46.565000,-90.000000,top
"L3","27nH","L_0402_1005Metric",102.322000,-44.070000,0.000000,top
"L4","6.8nH","L_0402_1005Metric",102.500000,-49.670000,-90.000000,top
"L5","6.8nH","L_0402_1005Metric",102.400000,-52.870000,-90.000000,top
"L6","3.3nH","L_0402_1005Metric",110.882500,-56.925000,0.000000,top
"L7","7.5nH","L_0402_1005Metric",103.592000,-45.070000,0.000000,top
"L9","?","C_0603_1608Metric",113.950000,-56.150000,90.000000,top
"P1","USB_C_Plug_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",118.800000,-22.850000,90.000000,top
"R1","1.0K","R_0402_1005Metric",81.661000,-37.973000,180.000000,top
"R3","309k","R_0402_1005Metric",86.918800,-29.464000,0.000000,top
"R4","1.5k","R_0402_1005Metric",83.312000,-32.514000,90.000000,top
"R5","1.5k","R_0402_1005Metric",82.900000,-34.800000,90.000000,top
"R6","5.1k","R_0402_1005Metric",112.800000,-24.700000,90.000000,top
"R13","2.2k","R_0402_1005Metric",114.450000,-53.700000,0.000000,top
"R14","10k","R_0402_1005Metric",120.644000,-40.680000,180.000000,top
"R15","10k","R_0402_1005Metric",120.644000,-39.537000,180.000000,top
"R16","10k","R_0402_1005Metric",120.682000,-41.914000,180.000000,top
"R17","22.1k","R_0402_1005Metric",112.850000,-21.400000,180.000000,top
"R18","1.18k","R_0402_1005Metric",96.475188,-28.725000,0.000000,top
"R19","1k","R_0402_1005Metric",118.000000,-34.450000,180.000000,top
"R20","47.5k","R_0402_1005Metric",112.825000,-22.550000,0.000000,top
"R21","309k","R_0402_1005Metric",86.918800,-30.564000,180.000000,top
"R22","10k","R_0402_1005Metric",99.150000,-34.700000,90.000000,top
"R23","10k","R_0402_1005Metric",90.475000,-32.125000,180.000000,top
"SW1","SW_SPST","SW-TH_SS-12F45-GXXX",82.550000,-24.130000,90.000000,top
"SW2","SW_Push_LED","SW-SMD_CHA_C603B-101ML-1SF",85.344000,-46.609000,0.000000,top
"U1","74HCT541","SN74HCT541PW",97.405000,-51.079400,90.000000,top
"U2","CC1310","CC1310F128RGZR",105.200000,-39.650000,90.000000,top
"U4","CP2102N","CP2102N-A02-GQFN28",116.200000,-38.350000,180.000000,top
"U5","MX25R8035F","MX25R8035FZUIL0",116.000000,-50.850000,90.000000,top
"U6","BQ24072","BQ24072TRGTR",93.224999,-30.149999,0.000000,top
"Y1","24MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",96.000000,-41.850000,90.000000,top
"Y2","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",108.500000,-48.550000,-90.000000,top
