Time,Supply Voltage,Battery Voltage
0,3.2929,3.085
30,3.1562,3.3664
60,3.1562,3.3706
90,3.1562,3.358
120,3.1132,3.3496
122,3.1132,3.3496
124,3.1132,3.3518
126,3.1132,3.3518
128,3.1132,3.3496
130,3.1132,3.3496
132,3.1132,3.3496
134,3.1132,3.3455
136,3.1132,3.3475
138,3.1132,3.3455
140,3.1132,3.3455
142,3.1132,3.3475
144,3.1132,3.3433
146,3.1132,3.3433
148,3.1132,3.3433
150,3.1132,3.3412
152,3.1132,3.3433
154,3.1132,3.3412
156,3.1132,3.3412
158,3.1132,3.3433
160,3.1132,3.3392
162,3.1132,3.3412
164,3.1132,3.3412
166,3.1132,3.3412
168,3.1132,3.3392
170,3.1132,3.3392
172,3.1132,3.3412
174,3.1132,3.3392
176,3.1132,3.3392
178,3.1132,3.3392
180,3.1132,3.3412
182,3.1132,3.3392
184,3.1132,3.337
186,3.1132,3.337
188,3.1132,3.3392
190,3.1132,3.337
192,3.1132,3.337
194,3.1132,3.337
196,3.1132,3.335
198,3.1132,3.337
200,3.1132,3.335
202,3.1132,3.335
204,3.1132,3.335
206,3.1132,3.3328
208,3.1132,3.3328
210,3.1132,3.3328
212,3.1132,3.335
214,3.1132,3.335
216,3.1132,3.335
218,3.1132,3.3328
220,3.1132,3.3328
222,3.1132,3.3328
224,3.1132,3.3328
226,3.1132,3.3328
228,3.1132,3.3307
230,3.1132,3.3307
232,3.1132,3.3328
234,3.1132,3.3307
236,3.1132,3.3307
238,3.1132,3.3287
240,3.1132,3.3307
242,3.1132,3.3287
244,3.1132,3.3287
246,3.1132,3.3287
248,3.1132,3.3287
250,3.1132,3.3265
252,3.1132,3.3265
254,3.1132,3.3265
256,3.1132,3.3265
258,3.1132,3.3244
260,3.1132,3.3265
262,3.1132,3.3265
264,3.1132,3.3265
266,3.1132,3.3265
268,3.1132,3.3287
270,3.1132,3.3244
272,3.1132,3.3265
274,3.1132,3.3244
276,3.1132,3.3244
278,3.1132,3.3265
280,3.1132,3.3244
282,3.1132,3.3244
284,3.1132,3.3224
286,3.1132,3.3224
288,3.1132,3.3224
290,3.1132,3.3244
292,3.1132,3.3224
294,3.0664,3.3224
296,3.1132,3.3224
298,3.1132,3.3224
300,3.1132,3.3224
302,3.1132,3.3202
304,3.1132,3.3202
306,3.1132,3.3182
308,3.0664,3.3202
310,3.0664,3.3202
312,3.0664,3.3182
314,3.0664,3.3182
316,3.0664,3.3182
318,3.0664,3.3182
320,3.0664,3.3182
322,3.0664,3.3182
324,3.0664,3.3182
326,3.0664,3.3182
328,3.0664,3.3182
330,3.0664,3.316
332,3.0664,3.316
334,3.0664,3.316
336,3.0664,3.316
338,3.0664,3.3139
340,3.0664,3.316
342,3.0664,3.316
344,3.0664,3.316
346,3.0664,3.3139
348,3.0664,3.316
350,3.0664,3.316
352,3.0664,3.3139
354,3.0664,3.3139
356,3.0664,3.316
358,3.0664,3.3139
360,3.0664,3.3139
362,3.0664,3.3139
364,3.0664,3.3119
366,3.0664,3.3119
368,3.0664,3.3119
370,3.0664,3.3119
372,3.0664,3.3119
374,3.0664,3.3097
376,3.0664,3.3119
378,3.0664,3.3097
380,3.0664,3.3097
382,3.0664,3.3076
384,3.0664,3.3076
386,3.0664,3.3076
388,3.0664,3.3076
390,3.0664,3.3076
392,3.0664,3.3076
394,3.0664,3.3076
396,3.0664,3.3055
398,3.0664,3.3076
400,3.0664,3.3076
402,3.0664,3.3055
404,3.0664,3.3055
406,3.0664,3.3055
408,3.0664,3.3055
410,3.0664,3.3013
412,3.0664,3.3055
414,3.0664,3.3013
416,3.0664,3.2992
418,3.0664,3.3013
420,3.0664,3.3013
422,3.0664,3.2992
424,3.0664,3.2971
426,3.0664,3.2992
428,3.0664,3.2992
430,3.0664,3.2971
432,3.0664,3.2992
434,3.0664,3.2951
436,3.0664,3.2951
438,3.0664,3.2951
440,3.0664,3.2951
442,3.0664,3.2971
444,3.0664,3.2951
446,3.0664,3.2971
448,3.0664,3.2951
450,3.0664,3.2951
452,3.0664,3.2908
454,3.0664,3.2951
456,3.0664,3.2951
458,3.0664,3.2929
460,3.0664,3.2951
462,3.0664,3.2929
464,3.0664,3.2929
466,3.0664,3.2908
468,3.0664,3.2908
470,3.0664,3.2908
472,3.0664,3.2888
474,3.0664,3.2908
476,3.0664,3.2888
478,3.0664,3.2888
480,3.0664,3.2908
482,3.0664,3.2866
484,3.0195,3.2866
486,3.0664,3.2866
488,3.0664,3.2866
490,3.0195,3.2866
492,3.0664,3.2866
494,3.0195,3.2845
496,3.0195,3.2824
498,3.0195,3.2845
500,3.0195,3.2824
502,3.0195,3.2824
504,3.0195,3.2824
506,3.0195,3.2824
508,3.0195,3.2824
510,3.0195,3.2824
512,3.0195,3.2803
514,3.0195,3.2803
516,3.0195,3.2803
518,3.0195,3.2783
520,3.0195,3.2803
522,3.0195,3.2803
524,3.0195,3.2761
526,3.0195,3.2761
528,3.0195,3.2761
530,3.0195,3.2783
532,3.0195,3.2761
534,3.0195,3.274
536,3.0195,3.2761
538,3.0195,3.274
540,3.0195,3.274
542,3.0195,3.274
544,3.0195,3.272
546,3.0195,3.272
548,3.0195,3.272
